username,repo_name,stars,repo_url
bregman-arie,devops-exercises,65600,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,62400,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,53500,https://github.com/localstack/localstack
serverless,serverless,46300,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,27000,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,21300,https://github.com/sst/sst
pulumi,pulumi,20800,https://github.com/pulumi/pulumi
getsops,sops,16200,https://github.com/getsops/sops
kubernetes-sigs,kubespray,15800,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15300,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14900,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12800,https://github.com/caprover/caprover
donnemartin,awesome-aws,12300,https://github.com/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,12300,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11500,https://github.com/aws/aws-cdk
milanm,DevOps-Roadmap,11200,https://github.com/milanm/DevOps-Roadmap
phidatahq,phidata,11000,https://github.com/phidatahq/phidata
apereo,cas,10800,https://github.com/apereo/cas
infracost,infracost,10800,https://github.com/infracost/infracost
aws,chalice,10600,https://github.com/aws/chalice
