username,repo_name,stars,repo_url
flutter,flutter,164000,https://github.com/flutter/flutter
facebook,react-native,118000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,111000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,108000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,81900,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,52800,https://github.com/Solido/awesome-flutter
google,material-design-icons,50300,https://github.com/google/material-design-icons
tldr-pages,tldr,50200,https://github.com/tldr-pages/tldr
wasabeef,awesome-android-ui,50100,https://github.com/wasabeef/awesome-android-ui
square,okhttp,45700,https://github.com/square/okhttp
laurent22,joplin,44800,https://github.com/laurent22/joplin
android,architecture-samples,44200,https://github.com/android/architecture-samples
appwrite,appwrite,43200,https://github.com/appwrite/appwrite
square,retrofit,42900,https://github.com/square/retrofit
skylot,jadx,40700,https://github.com/skylot/jadx
dcloudio,uni-app,39800,https://github.com/dcloudio/uni-app
fastlane,fastlane,39000,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,37500,https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34900,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,34900,https://github.com/airbnb/lottie-android
