username,repo_name,stars,repo_url
sindresorhus,awesome,321000,https://github.com/sindresorhus/awesome
vinta,awesome-python,217000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,192000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,142000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,128000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,89600,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,86400,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,81900,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,74200,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,70000,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,67100,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,64099,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,58200,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,57800,https://github.com/binhnguyennus/awesome-scalability
sindresorhus,awesome-nodejs,57600,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,56200,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,52800,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,50100,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,47200,https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,46800,https://github.com/vsouza/awesome-ios
