username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,152000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,78500,https://github.com/nvm-sh/nvm
junegunn,fzf,63400,https://github.com/junegunn/fzf
starship,starship,43900,https://github.com/starship/starship
google,zx,42700,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,39200,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,38300,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36400,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,36000,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,32400,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,30800,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30100,https://github.com/mathiasbynens/dotfiles
withfig,autocomplete,24500,https://github.com/withfig/autocomplete
kingToolbox,WindTerm,22400,https://github.com/kingToolbox/WindTerm
dylanaraps,neofetch,21800,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,21500,https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,21400,https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,20700,https://github.com/warpdotdev/Warp
atuinsh,atuin,19700,https://github.com/atuinsh/atuin
Nyr,openvpn-install,18900,https://github.com/Nyr/openvpn-install
