username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,172000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,63400,https://github.com/junegunn/fzf
sherlock-project,sherlock,54200,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,49800,https://github.com/jesseduffield/lazygit
sharkdp,bat,48400,https://github.com/sharkdp/bat
BurntSushi,ripgrep,47200,https://github.com/BurntSushi/ripgrep
wagoodman,dive,45100,https://github.com/wagoodman/dive
n8n-io,n8n,44300,https://github.com/n8n-io/n8n
google,zx,42700,https://github.com/google/zx
chubin,cheat.sh,38000,https://github.com/chubin/cheat.sh
spf13,cobra,37300,https://github.com/spf13/cobra
cli,cli,36500,https://github.com/cli/cli
httpie,cli,33200,https://github.com/httpie/cli
sharkdp,fd,33200,https://github.com/sharkdp/fd
alebcay,awesome-shell,32400,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,30600,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,28200,https://github.com/tqdm/tqdm
acheong08,ChatGPT,28000,https://github.com/acheong08/ChatGPT
google,python-fire,26800,https://github.com/google/python-fire
angular,angular-cli,26700,https://github.com/angular/angular-cli
